,click_id,ip,app,device,os,channel,click_time,Result
0,0,5744,9,1,3,107,2017-11-10 04:00:00,0
1,1,119901,9,1,3,466,2017-11-10 04:00:00,0
2,2,72287,21,1,19,128,2017-11-10 04:00:00,0
3,3,78477,15,1,13,111,2017-11-10 04:00:00,0
4,4,123080,12,1,13,328,2017-11-10 04:00:00,0
5,5,110769,18,1,13,107,2017-11-10 04:00:00,0
6,6,12540,3,1,1,137,2017-11-10 04:00:00,0
7,7,88637,27,1,19,153,2017-11-10 04:00:00,0
8,9,14932,18,1,10,107,2017-11-10 04:00:00,0
9,8,123701,12,1,53,424,2017-11-10 04:00:00,0
10,10,106056,26,1,19,477,2017-11-10 04:00:00,0
11,11,111025,3,1,19,137,2017-11-10 04:00:00,0
12,12,16050,12,1,13,265,2017-11-10 04:00:00,0
13,13,31555,9,1,13,244,2017-11-10 04:00:00,0
14,14,3009,12,1,25,242,2017-11-10 04:00:00,0
15,15,17149,14,1,49,480,2017-11-10 04:00:00,0
16,16,104009,18,1,17,107,2017-11-10 04:00:00,0
17,20,17149,14,1,49,480,2017-11-10 04:00:00,0
18,19,80209,27,1,13,122,2017-11-10 04:00:00,1
19,17,41399,3,1,8,417,2017-11-10 04:00:00,0
20,18,43655,12,1,15,178,2017-11-10 04:00:00,0
21,21,37338,8,1,8,145,2017-11-10 04:00:00,0
22,22,72562,13,1,19,477,2017-11-10 04:00:00,0
23,23,61583,12,1,13,242,2017-11-10 04:00:00,0
24,24,48240,18,1,42,107,2017-11-10 04:00:00,0
25,25,46401,27,1,22,153,2017-11-10 04:00:00,0
26,26,95155,2,1,16,258,2017-11-10 04:00:00,0
27,27,114220,9,1,13,445,2017-11-10 04:00:00,0
28,28,76736,18,1,39,134,2017-11-10 04:00:00,0
29,29,35834,12,1,13,178,2017-11-10 04:00:00,0
30,30,111493,18,1,20,107,2017-11-10 04:00:00,0
31,31,59233,5,1,3,377,2017-11-10 04:00:00,0
32,32,32434,15,1,19,430,2017-11-10 04:00:00,0
33,33,103556,21,1,13,232,2017-11-10 04:00:00,0
34,34,93694,2,1,27,469,2017-11-10 04:00:00,0
35,35,20608,12,1,18,481,2017-11-10 04:00:00,0
36,36,80167,3,1,17,379,2017-11-10 04:00:00,0
37,37,104791,6,1,13,459,2017-11-10 04:00:00,0
38,38,71888,23,1,8,153,2017-11-10 04:00:00,0
39,39,5429,12,1,19,265,2017-11-10 04:00:00,0
40,40,89163,9,1,53,466,2017-11-10 04:00:00,0
41,41,41399,9,1,8,442,2017-11-10 04:00:00,0
42,42,73005,18,1,13,134,2017-11-10 04:00:00,0
43,43,14597,2,1,19,469,2017-11-10 04:00:00,0
44,44,84405,9,1,20,127,2017-11-10 04:00:00,0
45,45,79692,9,1,32,107,2017-11-10 04:00:00,0
46,46,81501,1,1,18,153,2017-11-10 04:00:00,0
47,47,32442,12,1,53,178,2017-11-10 04:00:00,0
48,48,104975,26,1,10,121,2017-11-10 04:00:00,0
49,49,87570,26,1,22,477,2017-11-10 04:00:00,0
50,50,64349,21,1,19,232,2017-11-10 04:00:00,0
51,51,96030,3,1,19,466,2017-11-10 04:00:00,0
52,53,91106,18,1,19,121,2017-11-10 04:00:00,0
53,52,11509,9,1,13,442,2017-11-10 04:00:00,0
54,54,48938,9,1,13,445,2017-11-10 04:00:00,0
55,55,76800,9,1,25,489,2017-11-10 04:00:00,0
56,56,95586,12,1,25,328,2017-11-10 04:00:00,0
57,57,106407,26,1,19,477,2017-11-10 04:00:00,0
58,58,69649,25,1,10,259,2017-11-10 04:00:00,0
59,59,79665,12,1,17,178,2017-11-10 04:00:00,0
60,60,35435,9,1,19,215,2017-11-10 04:00:00,0
61,61,69649,25,1,10,259,2017-11-10 04:00:00,0
62,62,89117,18,1,8,121,2017-11-10 04:00:00,0
63,63,73124,12,1,19,409,2017-11-10 04:00:00,0
64,64,109078,18,1,17,107,2017-11-10 04:00:00,0
65,65,85221,14,1,13,379,2017-11-10 04:00:00,0
66,66,92867,3,1,19,379,2017-11-10 04:00:00,0
67,67,41822,10,1,19,377,2017-11-10 04:00:00,0
68,68,37558,6,1,19,125,2017-11-10 04:00:00,0
69,69,123753,13,1,19,477,2017-11-10 04:00:00,0
70,71,7709,3,1,18,137,2017-11-10 04:00:00,0
71,70,1600,18,1,20,439,2017-11-10 04:00:00,0
72,72,11607,18,1,19,107,2017-11-10 04:00:00,0
73,73,74267,18,1,1,121,2017-11-10 04:00:00,0
74,74,111512,14,1,18,480,2017-11-10 04:00:00,0
75,75,82722,9,1,53,466,2017-11-10 04:00:00,0
76,76,29330,9,1,58,466,2017-11-10 04:00:00,0
77,77,52448,3,1,10,452,2017-11-10 04:00:00,0
78,78,122726,8,1,19,145,2017-11-10 04:00:00,0
79,79,83616,3,1,15,211,2017-11-10 04:00:00,0
80,80,36866,15,1,70,386,2017-11-10 04:00:00,0
81,81,61195,3,1,19,205,2017-11-10 04:00:00,0
82,82,3859,12,1,19,178,2017-11-10 04:00:00,0
83,83,78928,2,1,18,219,2017-11-10 04:00:00,0
84,84,98079,9,1,13,232,2017-11-10 04:00:00,0
